,city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
284,3985710,cabo san lucas,MX,22.89,-109.91,1590173709,81.55,61,20,5.82
285,1505965,igrim,RU,63.19,64.42,1590173709,47.73,87,0,8.12
286,6014443,lac du bonnet,CA,50.25,-96.06,1590173709,73.51,50,100,11.99
287,4323873,estelle,US,29.85,-90.11,1590173510,87.75,70,75,13.87
288,215771,isiro,CD,2.77,27.62,1590173709,68.4,90,88,3.0
289,3354071,oranjemund,NA,-28.55,16.43,1590173710,58.86,80,0,14.54
290,3465228,coxim,BR,-18.51,-54.76,1590173710,83.55,73,100,6.51
291,1071296,antalaha,MG,-14.9,50.28,1590173710,74.26,90,93,10.45
292,1106677,bambous virieux,MU,-20.34,57.76,1590173705,73.69,69,40,13.87
293,5359864,isla vista,US,34.41,-119.86,1590173695,67.03,72,20,6.93
294,1794971,shitanjing,CN,39.23,106.34,1590173710,52.0,68,32,3.0
295,3576994,cockburn town,TC,21.46,-71.14,1590173710,80.65,81,100,11.86
296,3423146,ilulissat,GL,69.22,-51.1,1590173485,44.6,52,40,5.82
297,2121025,srednekolymsk,RU,67.45,153.68,1590173710,31.46,90,100,6.35
298,1714733,dingle,PH,11.0,122.67,1590173710,79.14,86,100,1.77
299,5861897,fairbanks,US,64.84,-147.72,1590173567,60.93,31,1,0.47
300,2166368,forbes,AU,-33.38,148.02,1590173710,40.14,95,100,4.94
301,3404558,cabedelo,BR,-6.98,-34.83,1590173710,84.2,74,75,12.75
302,1801640,luzhou,CN,28.87,105.44,1590173710,72.81,69,77,3.89
303,1235846,matara,LK,5.95,80.54,1590173711,80.58,89,86,10.89
304,2063042,port hedland,AU,-20.32,118.57,1590173711,62.6,33,0,10.29
305,933995,souillac,MU,-20.52,57.52,1590173711,73.4,69,40,13.87
306,359792,aswan,EG,24.09,32.91,1590173711,98.78,11,0,10.78
307,6148373,sioux lookout,CA,50.1,-91.92,1590173711,73.4,49,75,6.93
308,2455735,kangaba,ML,11.93,-8.42,1590173711,93.87,25,37,4.38
309,1490256,talnakh,RU,69.49,88.4,1590173711,55.4,54,0,11.18
310,3464329,eloi mendes,BR,-21.61,-45.57,1590173711,71.08,73,100,6.71
311,2427637,mongo,TD,12.18,18.69,1590173711,88.93,38,20,0.4
312,2610343,vestmanna,FO,62.16,-7.17,1590173711,48.2,81,100,11.41
313,3899695,ancud,CL,-41.87,-73.82,1590173711,51.71,81,100,10.29
314,3919703,comarapa,BO,-17.9,-64.48,1590173712,68.95,69,81,7.2
315,1688696,san policarpo,PH,12.18,125.51,1590173712,81.59,86,100,6.04
