,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
218,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:37:32 +0000 2020,0.4588,0.125,0.875,0.0,219
219,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Unless @johnkrasinski has complete editorial control over this one. Best… https://t.co/RTaJHml7ca,Fri May 22 16:35:55 +0000 2020,0.0,0.0,1.0,0.0,220
220,@CBS,@CBSNews @CBSThisMorning @johnkrasinski @somegoodnews @CBS @tonydokoupil and @johnkrasinski has anyone ever told yo… https://t.co/qO46p9ITqI,Fri May 22 16:35:11 +0000 2020,0.0,0.0,1.0,0.0,221
221,@CBS,@YandR_CBS @CBS @MyJasonThompson @ChristelAdnana @MarkGrossman @BrytonEjames @SashaCalle Congrats to all of you. You GOT this!,Fri May 22 16:34:07 +0000 2020,0.5707,0.209,0.791,0.0,222
222,@CBS,"Or @MSNBC, @ABC , @CBS, @PBS , @NBC, @NPR https://t.co/IcmtP3AKIs",Fri May 22 16:31:37 +0000 2020,0.0,0.0,1.0,0.0,223
223,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS My daughter was so excited to be in the prom episode!!  It was an incred… https://t.co/Grlp7kl1y4,Fri May 22 16:30:18 +0000 2020,0.5719,0.163,0.837,0.0,224
224,@CBS,@Scorpionfanint1 @chpspics @CBS @ScorpionCBS @CBSAllAccess In Belgium I know that only Netflix holds the full 4 sea… https://t.co/ithSUxxUNr,Fri May 22 16:29:16 +0000 2020,0.0,0.0,1.0,0.0,225
225,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS John...please ensure you manintain control and don’t change it too much!… https://t.co/AJZXwxYmrM,Fri May 22 16:25:53 +0000 2020,0.4389,0.162,0.838,0.0,226
226,@CBS,@YandR_CBS @CBS @MyJasonThompson @ChristelAdnana @MarkGrossman @BrytonEjames @SashaCalle Y&amp;R is just the best!,Fri May 22 16:25:19 +0000 2020,0.6696,0.29,0.71,0.0,227
227,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Nothing good can exist in this capitalist world. Ruins my love for SGN.,Fri May 22 16:24:11 +0000 2020,-0.0274,0.179,0.596,0.226,228
228,@CBS,@CSBence @EADiamataris @CBSNews @johnkrasinski @somegoodnews @CBS Pretty obvious since there were commercials,Fri May 22 16:23:32 +0000 2020,0.4939,0.225,0.775,0.0,229
229,@CBS,@Nanc41056072 @PauleyP @broke @CBS Ohhhh I’m sorry to hear that..☹️,Fri May 22 16:23:25 +0000 2020,-0.6705,0.0,0.581,0.419,230
230,@CBS,@somegoodnews @johnkrasinski @CBS @CBSNews Might want to have a word with The Verge on their reporting of this then! https://t.co/FEoBRy0cVK,Fri May 22 16:23:22 +0000 2020,0.1511,0.077,0.923,0.0,231
231,@CBS,"@CBSNews @johnkrasinski @somegoodnews @CBS Things I liked about SGN:
- Free on YouTube
- Thrown-together production
- John Krasinski",Fri May 22 16:23:12 +0000 2020,0.7269,0.264,0.736,0.0,232
232,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:22:44 +0000 2020,0.4588,0.125,0.875,0.0,233
233,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Yay!!!,Fri May 22 16:22:00 +0000 2020,0.6458,0.517,0.483,0.0,234
234,@CBS,RT @JKCorden: When you get in the lift with tonight’s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy,Fri May 22 16:12:10 +0000 2020,0.0,0.0,1.0,0.0,235
235,@CBS,"@CBSNews @CBS @johnkrasinski @somegoodnews Buenas noches, le hablo para informarle e alertar al pueblo Dominicano s… https://t.co/WduwSdJSc9",Fri May 22 16:12:05 +0000 2020,0.0,0.0,1.0,0.0,236
236,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Always bad news every morning,Fri May 22 16:11:03 +0000 2020,-0.5423,0.0,0.696,0.304,237
237,@CBS,I believe that some shows that showed potential should be given a second chance because we were not able to see eve… https://t.co/Es7Z5WzsD0,Fri May 22 16:10:26 +0000 2020,0.25,0.083,0.917,0.0,238
238,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:10:06 +0000 2020,0.4588,0.125,0.875,0.0,239
239,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:04:21 +0000 2020,0.4588,0.125,0.875,0.0,240
240,@CBS,"@CBSNews @johnkrasinski @somegoodnews @CBS That's too bad. I don't see them getting it right. Fake spontaneity, too… https://t.co/TKOnJF8ae2",Fri May 22 16:04:05 +0000 2020,-0.765,0.0,0.708,0.292,241
241,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS @kwsu44 !!!!!,Fri May 22 16:03:16 +0000 2020,0.0,0.0,1.0,0.0,242
242,@CBS,@grayla71 @SaveTommyCBS @CBS @netflix @amblin @CBSTVStudios @hulu @PrimeVideo I COMPLETELY agree!!!!!!!!!!,Fri May 22 16:01:45 +0000 2020,0.6902,0.319,0.681,0.0,243
243,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 16:01:01 +0000 2020,0.4588,0.125,0.875,0.0,244
244,@CBS,"@cukecito @desdelamoncloa @UN @ABC @CNN @BBCWorld @thetimes @nytimes @CBS Si comparas a bildu con eta, con hitler,… https://t.co/9p8llX7pMd",Fri May 22 16:00:52 +0000 2020,0.0,0.0,1.0,0.0,245
245,@CBS,"So exciting that #SGN is coming to @CBS ! Congratulations @johnkrasinski &amp; the @somegoodnews team, and to everyone… https://t.co/fjumLQs0UN",Fri May 22 15:59:00 +0000 2020,0.8264,0.311,0.689,0.0,246
246,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS We all have missed you John 🤗,Fri May 22 15:58:53 +0000 2020,0.1531,0.187,0.667,0.147,247
247,@CBS,@_Gabbers_ @OriginalSuperE @moonbattered @ryanstruyk @CNN @MSNBC @NBCNews @CBS @ABC ‘Misinform the public’? Did ‘Mi… https://t.co/IulSIpb4KT,Fri May 22 15:58:36 +0000 2020,0.0,0.0,1.0,0.0,248
248,@CBS,"@OriginalSuperE @_Gabbers_ @moonbattered @ryanstruyk @CNN @MSNBC @NBCNews @CBS @ABC Well, It's like a cult.",Fri May 22 15:57:43 +0000 2020,0.5574,0.277,0.723,0.0,249
249,@CBS,"@realDonaldTrump @CBS @60Minutes Fake news and disinformation media should not be allowed in the US, if it’s a lie,… https://t.co/v5oshDmkFP",Fri May 22 15:57:41 +0000 2020,-0.4767,0.0,0.86,0.14,250
250,@CBS,@niu_group @CBS @CBSUnstoppable @IfThenSheCan Definitely! I told my extended family to check out the whole… https://t.co/UzXkIDJpq6,Fri May 22 15:56:42 +0000 2020,0.4574,0.166,0.834,0.0,251
251,@CBS,@ProfTerguson_86 @CBSNews @johnkrasinski @somegoodnews @CBS Have to go to @PhillyD for that,Fri May 22 15:56:15 +0000 2020,0.0,0.0,1.0,0.0,252
252,@CBS,"@Bob_Ortega @SrAv03 @SenatorDurbin Thank you @Bob_Ortega @SenatorDurbin
@realDonaldTrump
@SenateDems
@SenateGOP… https://t.co/HL2zG5nNmJ",Fri May 22 15:55:58 +0000 2020,0.3612,0.2,0.8,0.0,253
